code,code_user,code_account_type,number_account,code_usage_limit,code_currency,phone,cccd,image_front,image_back,creator,create_date,editor,edit_date,status
306099,OGJ3Nowi3rK1ytUk,5105617,,,,,1161404074317,,,OGJ3Nowi3rK1ytUk,2024-08-13,,,success
814065,ShzQYLTDjNH05O7V,8296647,,,,,4235589299796,,,ShzQYLTDjNH05O7V,2024-07-21,,,success
322416,KDasD1knd8pgI9CB,4055354,,,,,8186316552683,,,KDasD1knd8pgI9CB,2024-07-09,,,success
124616,rfOTezvm5WvEcr8J,7840808,,,,,4409281061134,,,rfOTezvm5WvEcr8J,2024-08-04,,,draft
128938,M6ybev0dlGLynZzf,1685198,,,,,2538788020982,,,M6ybev0dlGLynZzf,2024-08-20,,,draft
440042,iZDSt9NlVcqFr4bW,1542797,,,,,9486302040369,,,iZDSt9NlVcqFr4bW,2024-07-14,,,draft
444151,tC25A1OMAtMWO2MU,1119656,,,,,6725689479643,,,tC25A1OMAtMWO2MU,2024-07-05,,,draft
898449,G0r7po9gXPXhYfrK,2931550,,,,,9119468959755,,,G0r7po9gXPXhYfrK,2024-08-13,,,draft
435490,LM8XZuoL9FxqmqY8,5559705,,,,,4227404527914,,,LM8XZuoL9FxqmqY8,2024-07-02,,,draft
384351,kHC0AjrD0xAMPtpy,9194896,,,,,6106639412082,,,kHC0AjrD0xAMPtpy,2024-07-17,,,draft
261857,nCiJ7rr2WqHFfKIm,8719181,,,,,3623236050101,,,nCiJ7rr2WqHFfKIm,2024-08-08,,,success
441736,a8JIdZljfqPNo3p1,8717374,,,,,3015369246432,,,a8JIdZljfqPNo3p1,2024-08-23,,,draft
694543,ZZqQ97csdP4fg8ZB,3531039,,,,,4666252474565,,,ZZqQ97csdP4fg8ZB,2024-08-01,,,success
594683,g88AKs4s9NZ6fe5w,4836157,,,,,3071742127464,,,g88AKs4s9NZ6fe5w,2024-07-26,,,success
563584,7SC1kDeE38jil4FX,1118966,,,,,8104279500096,,,7SC1kDeE38jil4FX,2024-07-25,,,draft
558716,tXfvMbCwneV9Nbf3,9303942,,,,,4655470716260,,,tXfvMbCwneV9Nbf3,2024-07-18,,,draft
548315,7sbSiefapmOUIijg,5018483,,,,,9734839646701,,,7sbSiefapmOUIijg,2024-08-25,,,success
830267,sefwVHIGCzjzaEkh,2221000,,,,,6898114405439,,,sefwVHIGCzjzaEkh,2024-07-19,,,draft
774937,Zu302RIPqsTs3L7g,9462655,,,,,2666361017220,,,Zu302RIPqsTs3L7g,2024-08-09,,,draft
414711,DLHkyjNGHJuJ95M4,6802041,,,,,7346578931896,,,DLHkyjNGHJuJ95M4,2024-08-12,,,success
606231,l6r6bQoqvLPKF5FF,8286859,,,,,7847146760477,,,l6r6bQoqvLPKF5FF,2024-07-26,,,success
194552,oUnox43mSgVOMgtM,2266209,,,,,2932855224796,,,oUnox43mSgVOMgtM,2024-08-17,,,draft
436104,S2YzjLpB0Lxm2A1c,3277020,,,,,2421450960426,,,S2YzjLpB0Lxm2A1c,2024-07-24,,,draft
996727,tUfFEQX7WTyp0LHO,6609402,,,,,2563989512295,,,tUfFEQX7WTyp0LHO,2024-08-16,,,draft
