Card ID,CIF Number,Card Type,Card Brand,Card Product Name,Issue Date,Expiry Date,Credit Limit,Status
2290820643874056,9913,Credit,mastercard,Master Card Business World,2007-11-05,2011-11-05,397580660,Expired
3517676965371609,1867,Debit,jcb,JCB Young Debit,2010-06-06,2014-06-06,0,Expired
2292173589980604,2339,Credit,mastercard,Mastercard Vàng,2008-04-04,2012-04-04,48732889,Expired
3570753270753997,6569,Debit,jcb,JCB Young Debit,2022-07-03,2026-07-03,0,Active
5463875432490096,2728,Credit,mastercard,One World Mastercard,2002-11-25,2006-11-25,459526293,Expired
2719187292706549,6289,Credit,mastercard,Mastercard Vàng,2007-01-18,2011-01-18,21685716,Expired
3594978194696129,7999,Debit,jcb,JCB Young Debit,2023-01-30,2027-01-30,0,Active
3541528604085811,4143,Debit,jcb,JCB Young Debit,2004-12-05,2008-12-05,0,Expired
2483675545643455,8611,Credit,mastercard,One World Mastercard,2018-08-18,2022-08-18,463850314,Expired
3538598502440439,4315,Debit,jcb,JCB Young Debit,2006-04-29,2010-04-29,0,Expired
3529222347086098,1866,Debit,jcb,JCB Young Debit,2002-09-04,2006-09-04,0,Expired
2396719547572563,4886,Credit,mastercard,Master Card Business World,2008-06-01,2012-06-01,224609559,Expired
2235053390751388,8256,Credit,mastercard,Master Card Business World,2002-03-26,2006-03-26,223028279,Expired
2267775561212037,2293,Credit,mastercard,One World Mastercard,2024-04-07,2028-04-07,442656929,Active
2287059624956716,3190,Credit,mastercard,Mastercard Vàng,2004-01-18,2008-01-18,6437627,Expired
2271374221764977,4117,Credit,mastercard,Mastercard Vàng,2026-06-30,2030-06-30,23908662,Active
3593783474405246,9918,Debit,jcb,JCB Young Debit,2026-04-24,2030-04-24,0,Active
5597401122085432,4166,Credit,mastercard,One World Mastercard,2011-02-02,2015-02-02,462901207,Expired
2460011119005656,7713,Credit,mastercard,Mastercard Vàng,2015-07-06,2019-07-06,24966015,Expired
5172513870739136,7008,Credit,mastercard,Master Card Business World,2004-08-26,2008-08-26,189780487,Expired
3548840807083409,783,Debit,jcb,JCB Young Debit,2018-05-30,2022-05-30,0,Expired
2702419667084585,332,Credit,mastercard,Mastercard Vàng,2021-02-01,2025-02-01,37426959,Active
2257461476558861,7676,Credit,mastercard,Mastercard Vàng,2021-02-15,2025-02-15,17628080,Active
3598344572995326,7627,Debit,jcb,JCB Young Debit,2013-01-17,2017-01-17,0,Expired
2641084011906406,3489,Credit,mastercard,Master Card Business World,2016-05-21,2020-05-21,238185039,Expired
3547709776629735,418,Debit,jcb,JCB Young Debit,2009-05-04,2013-05-04,0,Expired
3571771350439096,7852,Debit,jcb,JCB Young Debit,2022-03-05,2026-03-05,0,Active
3583487231317601,515,Debit,jcb,JCB Young Debit,2005-02-23,2009-02-23,0,Expired
2713273273286267,8127,Credit,mastercard,Mastercard Vàng,2009-05-24,2013-05-24,21744488,Expired
3508203495145758,4270,Debit,jcb,JCB Young Debit,2012-06-01,2016-06-01,0,Expired
3553391169339783,6684,Debit,jcb,JCB Young Debit,2010-01-08,2014-01-08,0,Expired
2717158680719974,9003,Credit,mastercard,Mastercard Vàng,2006-10-10,2010-10-10,27794539,Expired
2710854430014503,3984,Credit,mastercard,Master Card Business World,2010-11-16,2014-11-16,138121718,Expired
5337114544687553,4445,Credit,mastercard,One World Mastercard,2015-04-11,2019-04-11,185903661,Expired
3595967600860071,4567,Debit,jcb,JCB Young Debit,2025-09-04,2029-09-04,0,Active
3592779599621858,8294,Debit,jcb,JCB Young Debit,2002-08-25,2006-08-25,0,Expired
3502800851154815,1351,Debit,jcb,JCB Young Debit,2022-02-22,2026-02-22,0,Active
3540515726532664,4098,Debit,jcb,JCB Young Debit,2024-02-03,2028-02-03,0,Active
