CIF Number,CustName,Address,Mobile,MartialStatus,Dependents,CustType,BirthDay,Sex,Organization,Job,Experience,Salary,Existing time,Credit Score
0,Đặng Chí Công,"Đặng Trần Côn, Quận 1, TP.HCM",+842428500804,Married,Yes,Organization,1990-04-22,Male,Absolute Software (Vietnam) Ltd,DevSecOps Engineer,8,56669000,1,394
1,Ngô Xuân Hiền,"Yên Đỗ, Quận Tân Phú, TP.HCM",+842904055506,Married,Yes,Individual,1983-03-21,Female,N/A,Full-stack Developer,9,56063000,0,832
2,Đặng Dạ Hương,"Đường số 11, Quận 4, TP.HCM",+842937278812,Married,Yes,Organization,1954-10-07,Female,Absolute Software (Vietnam) Ltd,Front-end Developer,4,24089000,1,701
3,Phạm Gia Quỳnh,"Vĩnh Khánh, Quận 4, TP.HCM",+842359512920,Single,No,Individual,1975-06-19,Female,N/A,Full-stack Developer,7,44835000,8,811
4,Đặng Thiên Tuyền,"Đinh Điền, Quận Tân Bình, TP.HCM",+84855469636,Married,Yes,Organization,1959-11-25,Female,Hybrid Technologies,Data Engineer,8,39207000,7,478
5,Phan Nhật Quân,"Đại Nghĩa, Quận Tân Bình, TP.HCM",+842740228520,Married,Yes,Individual,1983-12-31,Male,N/A,Blockchain Engineer,10,52959000,6,306
6,Ngô Thành Doanh,"Ngô Quyền, Quận 10, TP.HCM",+842613934354,Married,Yes,Individual,1983-09-21,Male,N/A,Mobile Developer,3,29299000,9,642
7,Nguyễn Bình Hòa,"Tân Phú, Quận 7, TP.HCM",+84951698663,Married,Yes,Individual,1956-04-07,Male,N/A,Data Engineer,1,14835000,8,405
8,Lý Ðồng Khánh,"Đường số 57, Quận 3, TP.HCM",+842908150116,Married,Yes,Individual,1968-03-15,Male,N/A,Back-end Developer,2,17905000,7,574
9,Lý Thục Anh,"Đường số 5K, Quận 7, TP.HCM",+842621489122,Married,Yes,Organization,1986-10-13,Female,Home Credit Vietnam,Product Manager,9,70267000,2,759
10,Đặng Kim Ly,"Nguyễn Đình Chi, Quận 6, TP.HCM",+842961381609,Single,Yes,Individual,1959-08-19,Female,N/A,IT Manager,0,29283000,2,666
11,Lê Khánh Ly,"Đường số 21, Quận 4, TP.HCM",+842623360708,Single,No,Individual,1955-03-22,Female,N/A,Front-end Developer,5,43873000,5,470
12,Nguyễn Mỹ Hiệp,"Ký Con, Quận 1, TP.HCM",+84559714919,Single,Yes,Organization,1958-06-12,Female,"Niteco Vietnam Co., Ltd",System Admin,2,15125000,2,413
13,Phạm Diệp Anh,"Tân Lập, Quận Tân Bình, TP.HCM",+842639894215,Single,Yes,Organization,1991-01-07,Female,NFQ Asia,Full-stack Developer,3,24033000,8,611
14,Hoàng Bích Quyên,"Nam Thới 1, Hóc Môn, TP.HCM",+84998781414,Married,Yes,Individual,1970-06-24,Female,N/A,Business Analyst,6,47007000,8,409
15,Nguyễn Tùng Lâm,"Đường số 57, Quận Bình Tân, TP.HCM",+842971111037,Single,No,Individual,1963-12-08,Female,N/A,Full-stack Developer,9,63607000,1,514
16,Hồ Mai Thảo,"Đường số 3, Quận Bình Thạnh, TP.HCM",+84512670959,Single,Yes,Organization,1983-04-29,Female,NFQ Asia,System Admin,0,4667000,7,844
17,Đặng Họa Mi,"Đường số 22, Thành phố Thủ Đức, TP.HCM",+84760162384,Married,Yes,Individual,1987-07-20,Female,N/A,Product Owner,7,44678000,6,688
18,Trần Danh Văn,"Cù Lao, Quận Phú Nhuận, TP.HCM",+84897296127,Married,Yes,Individual,2001-07-05,Male,N/A,Project Manager,3,33387000,8,707
19,Phạm Minh Trang,"Hùng Vương, Quận 5, TP.HCM",+842744233865,Married,Yes,Organization,1965-10-17,Female,Zuhlke Engineering Vietnam,Designer,5,48490000,2,419
20,Võ Vân Hương,"Vạn Hạnh 1, Hóc Môn, TP.HCM",+842733483545,Married,Yes,Individual,1954-03-14,Female,N/A,Database Engineer,7,68140000,3,314
21,Trần Thanh Vinh,"Phan Văn Trị, Quận Gò Vấp, TP.HCM",+842940635004,Single,Yes,Organization,1963-10-27,Male,Bosch Global Software Technologies Company Limited,Business Intelligence AnalystData Scientist,0,3292000,3,722
22,Phan Minh Khang,"Đường số 43, Quận Gò Vấp, TP.HCM",+842978148476,Single,No,Individual,1990-02-13,Male,N/A,Embedded Engineer,1,12836000,4,660
23,Dương Tuyết Hân,"2 Đường số 14, Quận 7, TP.HCM",+842715550681,Married,Yes,Organization,1977-07-02,Female,Hybrid Technologies,Project Leader,8,45420000,10,715
